	canvas	id	label	entityId	creator	title
1143	https://github.com/n1kg0r/ds-project-dhdk/Canvas_278	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p7	c3r	entity-8		
1152	https://github.com/n1kg0r/ds-project-dhdk/Canvas_278	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p7	BO0451_CAM6537_0007_p.[III].jpg	entity-248		
1161	https://github.com/n1kg0r/ds-project-dhdk/Canvas_278	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p7	c3r	entity-248		
1170	https://github.com/n1kg0r/ds-project-dhdk/Canvas_279	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p8	BO0451_CAM6537_0008_p.[IV].jpg	entity-9		
1179	https://github.com/n1kg0r/ds-project-dhdk/Canvas_279	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p8	c3v	entity-9		
1188	https://github.com/n1kg0r/ds-project-dhdk/Canvas_279	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p8	BO0451_CAM6537_0008_p.[IV].jpg	entity-249		
1197	https://github.com/n1kg0r/ds-project-dhdk/Canvas_279	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p8	c3v	entity-249		
1206	https://github.com/n1kg0r/ds-project-dhdk/Canvas_374	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p103	BO0451_CAM6537_0103_p.41.jpg	entity-104		
1215	https://github.com/n1kg0r/ds-project-dhdk/Canvas_418	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p147	BO0451_CAM6537_0147_tavola recto.jpg	entity-148		
1224	https://github.com/n1kg0r/ds-project-dhdk/Canvas_488	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p217	BO0451_CAM6537_0217_p.[121].jpg	entity-218		
1233	https://github.com/n1kg0r/ds-project-dhdk/Canvas_282	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p11	BO0451_CAM6537_0011_p.VII.jpg	entity-12		
1242	https://github.com/n1kg0r/ds-project-dhdk/Canvas_282	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p11	c5r	entity-12		
1251	https://github.com/n1kg0r/ds-project-dhdk/Canvas_282	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p11	BO0451_CAM6537_0011_p.VII.jpg	entity-252		
1260	https://github.com/n1kg0r/ds-project-dhdk/Canvas_282	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p11	c5r	entity-252		
1269	https://github.com/n1kg0r/ds-project-dhdk/Canvas_453	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p182	BO0451_CAM6537_0182_p.94.jpg	entity-183		
1278	https://github.com/n1kg0r/ds-project-dhdk/Canvas_378	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p107	BO0451_CAM6537_0107_np.jpg	entity-108		
1287	https://github.com/n1kg0r/ds-project-dhdk/Canvas_464	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p193	BO0451_CAM6537_0193_p.101.jpg	entity-194		
1296	https://github.com/n1kg0r/ds-project-dhdk/Canvas_334	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p63	BO0451_CAM6537_0063_p.9.jpg	entity-64		
1305	https://github.com/n1kg0r/ds-project-dhdk/Canvas_486	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p215	BO0451_CAM6537_0215_p.119.jpg	entity-216		
1314	https://github.com/n1kg0r/ds-project-dhdk/Canvas_404	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p133	BO0451_CAM6537_0133_p.57.jpg	entity-134		
1323	https://github.com/n1kg0r/ds-project-dhdk/Canvas_348	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p77	BO0451_CAM6537_0077_p.19.jpg	entity-78		
1332	https://github.com/n1kg0r/ds-project-dhdk/Canvas_284	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p13	BO0451_CAM6537_0013_p.IX.jpg	entity-14		
1341	https://github.com/n1kg0r/ds-project-dhdk/Canvas_284	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p13	r	entity-14		
1350	https://github.com/n1kg0r/ds-project-dhdk/Canvas_284	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p13	BO0451_CAM6537_0013_p.IX.jpg	entity-254		
1359	https://github.com/n1kg0r/ds-project-dhdk/Canvas_284	https://dl.ficlit.unibo.it/iiif/2/19428/canvas/p13	r	entity-254		
1368	https://github.com/n1kg0r/ds-project-dhdk/Canvas_321	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p50	BO0451_CAM6537_0050_p.[XLII].jpg	entity-51		
1377	https://github.com/n1kg0r/ds-project-dhdk/Canvas_503	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p232	BO0451_CAM6537_0232_foglio di guardia.jpg	entity-233		
1386	https://github.com/n1kg0r/ds-project-dhdk/Canvas_371	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p100	BO0451_CAM6537_0100_p.38.jpg	entity-101		
